english,ipa,audio
aarrghh,ˈɑːɹɹəɡ,assets_small\aarrghh.wav
aasvogel,ˈɑːsvoʊdʒəl,assets_small\aasvogel.wav
aasvogels,ˈɑːsvoʊdʒəlz,assets_small\aasvogels.wav
aardvarks,ˈɑːɹdvɑːɹks,assets_small\aardvarks.wav
aarrgh,ˈɑːɹɹəɡ,assets_small\aarrgh.wav
aahed,ˈɑːd,assets_small\aahed.wav
aardwolves,ˈɑːɹdwʊlvz,assets_small\aardwolves.wav
aarti,ˈɑːɹɾi,assets_small\aarti.wav
aalii,ˈɑːlɪˌaɪ,assets_small\aalii.wav
abstracter,ɐbstɹˈæktɚ,assets_small\abstracter.wav
absolute,ˈæbsəlˌuːt,assets_small\absolute.wav
abolitional,ˌæbəlˈɪʃənəl,assets_small\abolitional.wav
abnormalities,ɐbnoːɹmˈælᵻɾiz,assets_small\abnormalities.wav
abate,ɐbˈeɪt,assets_small\abate.wav
abigails,ˈæbɪɡˌeɪlz,assets_small\abigails.wav
abstractedness,ɐbstɹˈæktᵻdnəs,assets_small\abstractedness.wav
abducting,ɐbdˈʌktɪŋ,assets_small\abducting.wav
absorbency,ɐbsˈoːɹbənsi,assets_small\absorbency.wav
acequia,ɐsˈɛkwiə,assets_small\acequia.wav
actinopod,ˈæktɪnəpˌɑːd,assets_small\actinopod.wav
accoutre,ɐkˈuːɾɚ,assets_small\accoutre.wav
ached,ˈeɪkt,assets_small\ached.wav
accursedly,ɐkˈɜːsᵻdli,assets_small\accursedly.wav
achievements,ɐtʃˈiːvmənts,assets_small\achievements.wav
actionist,ˈækʃənˌɪst,assets_small\actionist.wav
actressy,ˈæktɹəsi,assets_small\actressy.wav
accordable,ɐkˈoːɹdəbəl,assets_small\accordable.wav
additively,ˈædᵻtˌɪvli,assets_small\additively.wav
admeasures,ɐdmˈɛʒɚz,assets_small\admeasures.wav
adderstones,ˈædɚstˌoʊnz,assets_small\adderstones.wav
advection,ɐdvˈɛkʃən,assets_small\advection.wav
adored,ɐdˈoːɹd,assets_small\adored.wav
adversest,ædvˈɜːsɪst,assets_small\adversest.wav
adjudications,ɐdʒˌuːdɪkˈeɪʃənz,assets_small\adjudications.wav
adman,ˈædmən,assets_small\adman.wav
adjustments,ɐdʒˈʌstmənts,assets_small\adjustments.wav
aeroneuroses,ˈɛɹoʊnˌʊɹɹoʊzᵻz,assets_small\aeroneuroses.wav
aemule,ˈiːmjuːl,assets_small\aemule.wav
aerobots,ˈɛɹoʊbˌɑːts,assets_small\aerobots.wav
aetiologies,ˌiːɾɪˈɑːlədʒiz,assets_small\aetiologies.wav
aerography,ɛɹˈoʊɡɹəfi,assets_small\aerography.wav
aerenchyma,ˈɛɹəntʃˌɪmə,assets_small\aerenchyma.wav
aerosolised,ˈɛɹəsˌɑːlaɪzd,assets_small\aerosolised.wav
aerobes,ˈɛɹoʊbz,assets_small\aerobes.wav
aerobats,ˈɛɹoʊbˌæts,assets_small\aerobats.wav
affirmant,ɐfˈɜːmənt,assets_small\affirmant.wav
affixial,ɐfˈɪksɪəl,assets_small\affixial.wav
aftershaves,ˈæftɚʃˌeɪvz,assets_small\aftershaves.wav
afrormosias,ˌæfɹoʊəmˈoʊʒəz,assets_small\afrormosias.wav
affrication,ɐfɹɪkˈeɪʃən,assets_small\affrication.wav
afterclap,ˈæftɚklˌæp,assets_small\afterclap.wav
affies,ɐfiz,assets_small\affies.wav
aftersuns,ˈæftɚsˌʌnz,assets_small\aftersuns.wav
afford,ɐfˈoːɹd,assets_small\afford.wav
agacant,ˈæɡækənt,assets_small\agacant.wav
aguish,ˈæɡwɪʃ,assets_small\aguish.wav
agatoid,ˈæɡɐtˌɔɪd,assets_small\agatoid.wav
agathodaimons,ˈæɡɐθˌɑːdeɪmənz,assets_small\agathodaimons.wav
agraste,ˈæɡɹæst,assets_small\agraste.wav
agonisedly,ˈæɡənˌaɪzɪdli,assets_small\agonisedly.wav
agrotourist,ˈæɡɹoʊtˌʊɹɹɪst,assets_small\agrotourist.wav
agrize,ˈæɡɹaɪz,assets_small\agrize.wav
agacante,ˌæɡɐkˈɑːnteɪ,assets_small\agacante.wav
ahorseback,ˈæhoːɹsˌɛbæk,assets_small\ahorseback.wav
ahuruhuru,ˈæhjʊɹɹˌuːhjʊɹɹˌuː,assets_small\ahuruhuru.wav
ahimsa,ˈæhɪmsə,assets_small\ahimsa.wav
ahigh,ˈæhaɪ,assets_small\ahigh.wav
ahull,ˈæhʌl,assets_small\ahull.wav
aholds,ɐhˈoʊldz,assets_small\aholds.wav
ahold,ɐhˈoʊld,assets_small\ahold.wav
ahistorical,ˌæhɪstˈɔːɹɪkəl,assets_small\ahistorical.wav
ahungered,ˈæhʌndʒɚd,assets_small\ahungered.wav
aieries,ˈeɪɚɹiz,assets_small\aieries.wav
aigrette,eɪɡɹˈɛt,assets_small\aigrette.wav
ailanthus,ˈeɪlænθəs,assets_small\ailanthus.wav
airlift,ˈɛɹlɪft,assets_small\airlift.wav
airmails,ˈɛɹmeɪlz,assets_small\airmails.wav
airsheds,ˈɛɹʃɛdz,assets_small\airsheds.wav
aircraftswoman,ˈɛɹkɹɐftswˌʊmən,assets_small\aircraftswoman.wav
airwise,ˈɛɹwaɪz,assets_small\airwise.wav
airfreight,ˈɛɹfɹeɪt,assets_small\airfreight.wav
ajwans,ˈædʒwənz,assets_small\ajwans.wav
ajugas,ˈædʒuːɡəz,assets_small\ajugas.wav
ajutages,ˈædʒuːɾɪdʒᵻz,assets_small\ajutages.wav
ajowans,ˈædʒaʊənz,assets_small\ajowans.wav
ajivas,ˈædʒɪvəz,assets_small\ajivas.wav
ajuga,ˈædʒuːɡə,assets_small\ajuga.wav
ajiva,ˈædʒɪvə,assets_small\ajiva.wav
ajwan,ˈædʒwən,assets_small\ajwan.wav
ajowan,ˈædʒaʊən,assets_small\ajowan.wav
akeakes,ˈeɪkeɪks,assets_small\akeakes.wav
akinetic,ɐkaɪnˈɛɾɪk,assets_small\akinetic.wav
akoluthoses,ˈækəlˌʌθoʊzᵻz,assets_small\akoluthoses.wav
aking,ˈeɪkɪŋ,assets_small\aking.wav
akateas,ækˈeɪɾiəz,assets_small\akateas.wav
akatea,ækˈeɪɾiə,assets_small\akatea.wav
akinesia,ɐkaɪnˈiːʒə,assets_small\akinesia.wav
akinesis,ɐkənˈiːsɪs,assets_small\akinesis.wav
akedahs,ˈeɪkdəz,assets_small\akedahs.wav
alcoved,ˈælkoʊvd,assets_small\alcoved.wav
alleys,ˈælɪz,assets_small\alleys.wav
alacrities,ɐlˈækɹᵻɾiz,assets_small\alacrities.wav
algorithm,ˈælɡɚɹˌɪθəm,assets_small\algorithm.wav
alloplasmic,ˌæləplˈæzmɪk,assets_small\alloplasmic.wav
allice,ˈælɪs,assets_small\allice.wav
allotype,ɐlˈɑːtaɪp,assets_small\allotype.wav
alderwoman,ˈɔːldɚwˌʊmən,assets_small\alderwoman.wav
